material,cell source,cell tissue,time (hr),test,test indicator,viability (%),Hydrodynamic diameter (nm),Cell type,Molecular weight (g/mol),AR,IR,X,E,pot
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,113.67,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,97.265,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,108.73,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,98.451,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,98.056,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,100.43,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,95.881,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,79.473,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,94.893,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,79.275,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,105.21,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,120.85,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,117.25,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,106.06,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,84.93,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,96.127,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,94.225,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,103.94,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,79.014,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,63.803,386.9,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,97.463,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,95.486,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,89.951,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,105.96,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,95.091,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,96.474,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,94.3,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,72.356,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,70.774,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,71.763,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,103.52,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,96.761,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,109.86,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,122.75,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,104.58,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,118.73,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,94.648,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,103.1,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,105.63,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,24.0,MTT,TetrazoliumSalt,80.493,375.4,PC12,60.08431,,,,,
SiO2,Rat,Adrenal Gland,12.0,MTT,TetrazoliumSalt,120.0,437.0,PC12,60.08431,,,,,
