,material,shape,coat/functional group,synthesismethod,surface charge,size in medium (nm),zeta in medium (mV),no of cells (cells/well),human/animal,cell source,cell tissue,cell morphology,cell age,time (hr),concentration (ug/ml),test,test indicator,viability (%),DOI,core size (nm),surface area,Hydrodynamic diameter (nm),Zeta potential (mV),Cell type,Molecular weight (g/mol)
0,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,1.95,MTT,TetrazoliumSalt,113.67,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
1,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,3.9,MTT,TetrazoliumSalt,97.265,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
2,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,7.8,MTT,TetrazoliumSalt,108.73,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
3,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,15.6,MTT,TetrazoliumSalt,98.451,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
4,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,31.2,MTT,TetrazoliumSalt,98.056,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
5,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,62.5,MTT,TetrazoliumSalt,100.43,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
6,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,125.0,MTT,TetrazoliumSalt,95.881,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
7,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,250.0,MTT,TetrazoliumSalt,79.473,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
8,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,500.0,MTT,TetrazoliumSalt,94.893,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
9,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,1000.0,MTT,TetrazoliumSalt,79.275,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
10,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,1.95,MTT,TetrazoliumSalt,105.21,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
11,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,3.9,MTT,TetrazoliumSalt,120.85,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
12,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,7.8,MTT,TetrazoliumSalt,117.25,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
13,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,15.6,MTT,TetrazoliumSalt,106.06,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
14,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,31.2,MTT,TetrazoliumSalt,84.93,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
15,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,62.5,MTT,TetrazoliumSalt,96.127,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
16,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,125.0,MTT,TetrazoliumSalt,94.225,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
17,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,250.0,MTT,TetrazoliumSalt,103.94,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
18,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,500.0,MTT,TetrazoliumSalt,79.014,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
19,SiO2,Sphere,CTAB,Precipitation,Negative,90.09,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,24.0,1000.0,MTT,TetrazoliumSalt,63.803,10.3109/15376516.2015.1070229,,,386.9,-35.9,PC12,60.08431
20,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,1.95,MTT,TetrazoliumSalt,97.463,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431
21,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,3.9,MTT,TetrazoliumSalt,95.486,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431
22,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,7.8,MTT,TetrazoliumSalt,89.951,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431
23,SiO2,Sphere,Ph,Precipitation,Negative,135.83,,5000.0,A,Rat,Adrenal Gland,Irregular,Adult,12.0,15.6,MTT,TetrazoliumSalt,105.96,10.3109/15376516.2015.1070229,,,375.4,-26.8,PC12,60.08431
