material,cell source,cell tissue,time (hr),test,test indicator,viability (%),Hydrodynamic diameter (nm),Cell type,Molecular weight (g/mol),AR,IR,X,E,pot
32,11.0,0.0,12.0,22.0,15.0,113.67,386.9,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,97.265,386.9,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,108.73,386.9,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,98.451,386.9,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,98.056,386.9,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,100.43,386.9,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,95.881,386.9,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,79.473,386.9,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,94.893,386.9,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,79.275,386.9,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,105.21,386.9,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,120.85,386.9,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,117.25,386.9,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,106.06,386.9,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,84.93,386.9,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,96.127,386.9,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,94.225,386.9,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,103.94,386.9,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,79.014,386.9,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,63.803,386.9,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,97.463,375.4,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,95.486,375.4,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,89.951,375.4,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,105.96,375.4,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,95.091,375.4,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,96.474,375.4,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,94.3,375.4,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,72.356,375.4,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,70.774,375.4,100.0,60.08431,,,,,
32,11.0,0.0,12.0,22.0,15.0,71.763,375.4,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,103.52,375.4,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,96.761,375.4,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,109.86,375.4,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,122.75,375.4,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,104.58,375.4,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,118.73,375.4,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,94.648,375.4,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,103.1,375.4,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,105.63,375.4,100.0,60.08431,,,,,
32,11.0,0.0,24.0,22.0,15.0,80.493,375.4,100.0,60.08431,,,,,
