formula,AR,IR,X,E,pot
CoFe2O4,0.936,0.85,2.757,0.973,-0.05
CoFe2O4,0.936,0.85,2.757,0.973,-0.05
CoFe2O4,0.936,0.85,2.757,0.973,-0.05
CoFe2O4,0.936,0.85,2.757,0.973,-0.05
CoFe2O4,0.936,0.85,2.757,0.973,-0.05
CoFe2O4,0.936,0.85,2.757,0.973,-0.05
CoFe2O4,0.936,0.85,2.757,0.973,-0.05
CoFe2O4,0.936,0.85,2.757,0.973,-0.05
CoFe2O4,0.936,0.85,2.757,0.973,-0.05
CoFe2O4,0.936,0.85,2.757,0.973,-0.05
CoFe2O4,0.936,0.85,2.757,0.973,-0.05
MnFe2O4,0.943,0.855,2.71,0.804,-0.179
MnFe2O4,0.943,0.855,2.71,0.804,-0.179
MnFe2O4,0.943,0.855,2.71,0.804,-0.179
MnFe2O4,0.943,0.855,2.71,0.804,-0.179
MnFe2O4,0.943,0.855,2.71,0.804,-0.179
MnFe2O4,0.943,0.855,2.71,0.804,-0.179
MnFe2O4,0.943,0.855,2.71,0.804,-0.179
MnFe2O4,0.943,0.855,2.71,0.804,-0.179
MnFe2O4,0.943,0.855,2.71,0.804,-0.179
MnFe2O4,0.943,0.855,2.71,0.804,-0.179
MgFe2O4,0.957,0.957,2.676,0.819,-0.349
MgFe2O4,0.957,0.957,2.676,0.819,-0.349
MgFe2O4,0.957,0.957,2.676,0.819,-0.349
NiFe2O4,0.936,0.849,2.761,1.044,-0.047
NiFe2O4,0.936,0.849,2.761,1.044,-0.047
NiFe2O4,0.936,0.849,2.761,1.044,-0.047
ZnFe2O4,0.936,0.936,2.724,0.79,-0.119
ZnFe2O4,0.936,0.936,2.724,0.79,-0.119
ZnFe2O4,0.936,0.936,2.724,0.79,-0.119
ZnFe2O4,0.936,0.936,2.724,0.79,-0.119
NiCo2O4,0.921,0.64,2.776,1.189,0.077
NiCo2O4,0.921,0.64,2.776,1.189,0.077
CdCo2O4,0.95,0.756,2.744,0.921,0.057
CdCo2O4,0.95,0.756,2.744,0.921,0.057
CuWO4,0.85,0.738,3.003,1.316,0.042
CuWO4,0.85,0.738,3.003,1.316,0.042
FeWO4,0.858,0.756,2.992,1.136,-0.09
FeWO4,0.858,0.756,2.992,1.136,-0.09
Co2V2O7,0.873,0.764,2.827,1.146,-0.096
Co2V2O7,0.873,0.764,2.827,1.146,-0.096
FeVO4,0.858,0.858,2.87,1.088,-0.048
FeVO4,0.858,0.858,2.87,1.088,-0.048
